고려,"['da_20180822205029959', 'da_20180822204533882', 'da_20180822202644522', 'da_20180822200004062', 'da_20180822194229621', 'da_20180822192614230', 'da_20180822192043091', 'da_20180822191615005', 'da_20180822190244643', 'da_20180822184657348', 'da_20180822184647343', 'da_20180822184256272', 'da_20180822183559085', 'da_20180822183541080', 'da_20180822182658852', 'da_20180822182316771', 'da_20180822180147178', 'da_20180822175602025', 'da_20180822175401965', 'da_20180822175317946', 'da_20180822175202918', 'da_20180822174852774', 'da_20180822174508666']"
문제라,['da_20180822184101227']
충격적,['da_20180822193900536']
경제상황,"['da_20180822194234625', 'da_20180822191800034', 'da_20180822190603729', 'da_20180822174429628']"
정치활동,"['da_20180822193423421', 'da_20180822173800401']"
내각,"['da_20180822211003333', 'da_20180822204533882', 'da_20180822204510873', 'da_20180822203600702', 'da_20180822202644522', 'da_20180822194313639', 'da_20180822193112352', 'da_20180822190603729', 'da_20180822183152981', 'da_20180822180258213']"
캐피탈,['da_20180822192043091']
유사,['da_20180822193431423']
꼬리,['da_20180822193552461']
선진국,['da_20180822175102878']
양승태,"['da_20180822182100731', 'da_20180822175325948']"
의료,"['da_20180822210000141', 'da_20180822204059816', 'da_20180822200646181', 'da_20180822194234625', 'da_20180822193441425']"
사단,"['da_20180822200602166', 'da_20180822193900536', 'da_20180822193502436', 'da_20180822184657348']"
하늘길,['da_20180822182316771']
출입문,['da_20180822175352956']
현미경,['da_20180822173402235']
재소,['da_20180822193502436']
이완,['da_20180822181523612']
요지,['da_20180822182100729']
수업,['da_20180822174124551']
통행차단,['da_20180822193104347']
통수권,"['da_20180822200602166', 'da_20180822183516074']"
소득분배,['da_20180822180258213']
고개,"['da_20180822200102098', 'da_20180822194229621', 'da_20180822192627233', 'da_20180822184704351', 'da_20180822183058958', 'da_20180822181050492']"
적대,"['da_20180822200340142', 'da_20180822200004062', 'da_20180822191502972', 'da_20180822184256272', 'da_20180822184101227', 'da_20180822175401965']"
열병식,['da_20180822183058958']
경일,['da_20180822195613959']
조치사항,['da_20180822205312033']
전시계엄,['da_20180822193900536']
기회,"['da_20180822205020956', 'da_20180822211607445', 'da_20180822195405893', 'da_20180822194229621', 'da_20180822191800034', 'da_20180822183559085', 'da_20180822181047491', 'da_20180822181003437', 'da_20180822180258213', 'da_20180822174852774', 'da_20180822174500638', 'da_20180822174429628']"
음식업계,['da_20180822184901397']
상철,['da_20180822190304657']
사회수석실,['da_20180822175414987']
세종종합청사,['da_20180822181003437']
사후,['da_20180822173509271']
김혜지,['da_20180822190550718']
대외전략실장,['da_20180822184101227']
병역법,"['da_20180822192424188', 'da_20180822190244643', 'da_20180822184647343', 'da_20180822175317946']"
말수,['da_20180822211607445']
태풍영향권,['da_20180822173617339']
특징,"['da_20180822200646181', 'da_20180822193431423']"
버섯,['da_20180822173928461']
대행,"['da_20180822193900536', 'da_20180822183516074']"
애매모호,['da_20180822193441425']
네트워크,"['da_20180822211200373', 'da_20180822181719647']"
단계,"['da_20180822204533882', 'da_20180822204510873', 'da_20180822203600702', 'da_20180822202644522', 'da_20180822195613959', 'da_20180822193502436', 'da_20180822190603729', 'da_20180822185305479', 'da_20180822182316771', 'da_20180822180158185', 'da_20180822173629345']"
신형,['da_20180822200046092']
행보,"['da_20180822194234625', 'da_20180822185111447', 'da_20180822181538615', 'da_20180822175400963', 'da_20180822173800401']"
곁가지,['da_20180822183822163']
법무관,"['da_20180822202951584', 'da_20180822190244643', 'da_20180822184647343', 'da_20180822175317946']"
테리,['da_20180822184724359']
부양,"['da_20180822201928410', 'da_20180822194229621', 'da_20180822184901397', 'da_20180822180817381', 'da_20180822174429628']"
조정,"['da_20180822203900755', 'da_20180822203138635', 'da_20180822194212614', 'da_20180822193502436', 'da_20180822193441425', 'da_20180822192827286', 'da_20180822192627233', 'da_20180822192614231', 'da_20180822192403184', 'da_20180822191803040', 'da_20180822191800034', 'da_20180822190304657', 'da_20180822184638340', 'da_20180822182356780', 'da_20180822182316771', 'da_20180822182213754', 'da_20180822181538615', 'da_20180822181003437', 'da_20180822180258213', 'da_20180822175401969', 'da_20180822175202918', 'da_20180822175028837', 'da_20180822174500638', 'da_20180822174124551', 'da_20180822173650356', 'da_20180822173402235', 'da_20180822173323221']"
생각,"['da_20180822205020956', 'da_20180822203521696', 'da_20180822202702533', 'da_20180822202701532', 'da_20180822201928410', 'da_20180822201803384', 'da_20180822200742195', 'da_20180822195615961', 'da_20180822195357884', 'da_20180822194313640', 'da_20180822194229621', 'da_20180822194212614', 'da_20180822193900536', 'da_20180822193552461', 'da_20180822193502436', 'da_20180822193431423', 'da_20180822193423421', 'da_20180822192827286', 'da_20180822192627233', 'da_20180822192442190', 'da_20180822192354168', 'da_20180822191803040', 'da_20180822191800034', 'da_20180822191717023', 'da_20180822191501967', 'da_20180822190902794', 'da_20180822190603729', 'da_20180822190550718', 'da_20180822190304657', 'da_20180822190112634', 'da_20180822185503512', 'da_20180822184901397', 'da_20180822184729361', 'da_20180822184704351', 'da_20180822184638340', 'da_20180822184219268', 'da_20180822183822163', 'da_20180822183559085', 'da_20180822183152981', 'da_20180822182400784', 'da_20180822182356780', 'da_20180822182100732', 'da_20180822182100731', 'da_20180822181805672', 'da_20180822181523612', 'da_20180822181302554', 'da_20180822181050492', 'da_20180822181047491', 'da_20180822180817381', 'da_20180822180300214', 'da_20180822180258213', 'da_20180822180158185', 'da_20180822175708057', 'da_20180822175602025', 'da_20180822175551021', 'da_20180822175400963', 'da_20180822175400961', 'da_20180822175325948', 'da_20180822175202918', 'da_20180822175150914', 'da_20180822175028837', 'da_20180822174508666', 'da_20180822174503660', 'da_20180822174429628', 'da_20180822174303602', 'da_20180822174112545', 'da_20180822173907446', 'da_20180822173800401']"
어려움,"['da_20180822194229621', 'da_20180822190550718', 'da_20180822183459057', 'da_20180822182726867', 'da_20180822182532820', 'da_20180822175855084', 'da_20180822175002812', 'da_20180822174500638']"
제조업,"['da_20180822205020956', 'da_20180822192827286', 'da_20180822185111447', 'da_20180822184729361', 'da_20180822184724359', 'da_20180822182100729', 'da_20180822181047491']"
편지,['da_20180822191501967']
시행계획,['da_20180822200646181']
낙과,['da_20180822193104347']
수행,"['da_20180822200046092', 'da_20180822194212614', 'da_20180822193900536', 'da_20180822184657348', 'da_20180822184101227', 'da_20180822183516074', 'da_20180822182100729', 'da_20180822181859683', 'da_20180822175102878']"
당선,['da_20180822174020505']
생태,['da_20180822183024945']
기념사진,"['da_20180822175401969', 'da_20180822174047523']"
벽돌,['da_20180822211200373']
의학부,['da_20180822174630702']
앰프방송,['da_20180822204558889']
재해위험지구,['da_20180822182316771']
재난대책본부,"['da_20180822205312033', 'da_20180822192614231', 'da_20180822173323221']"
찬조,['da_20180822182100729']
처리,"['da_20180822200646181', 'da_20180822194234625', 'da_20180822193502436', 'da_20180822193441425', 'da_20180822181538615', 'da_20180822181200522', 'da_20180822175002812', 'da_20180822174612695']"
관리수위,['da_20180822184141245']
고등군사법원,['da_20180822175400962']
패러다임,"['da_20180822190902794', 'da_20180822190550718', 'da_20180822180258213']"
유류,"['da_20180822195615961', 'da_20180822195510922', 'da_20180822175400961']"
로버트,['da_20180822191604001']
일차적,['da_20180822184101227']
악화,"['da_20180822205020956', 'da_20180822194234625', 'da_20180822194229621', 'da_20180822190603729', 'da_20180822183559085', 'da_20180822181047491', 'da_20180822175602025', 'da_20180822175150914', 'da_20180822174303602', 'da_20180822173808406']"
수력,['da_20180822173617339']
화제,"['da_20180822192500195', 'da_20180822175348954']"
지명,"['da_20180822184941403', 'da_20180822182100731', 'da_20180822175325948']"
정책질의,['da_20180822191800034']
성만,['da_20180822211200373']
그녀,['da_20180822191604001']
공직자윤리위원회,['da_20180822211534429']
감사원장,"['da_20180822181302554', 'da_20180822180258213', 'da_20180822175325948', 'da_20180822174112545']"
경제정책,"['da_20180822205716100', 'da_20180822205020956', 'da_20180822204248843', 'da_20180822191800034', 'da_20180822190603729', 'da_20180822184901397', 'da_20180822184729361', 'da_20180822184219268', 'da_20180822183559085', 'da_20180822181047491', 'da_20180822180622340', 'da_20180822180258213']"
보수개혁,['da_20180822203521696']
동해,"['da_20180822191800035', 'da_20180822184653345', 'da_20180822182514815', 'da_20180822180300214', 'da_20180822174941795', 'da_20180822173423245']"
직권,['da_20180822183459057']
흡입,['da_20180822203223649']
파문,['da_20180822202702533']
두고,"['da_20180822211607445', 'da_20180822203521696', 'da_20180822200102098', 'da_20180822194234625', 'da_20180822193900536', 'da_20180822193502436', 'da_20180822192354168', 'da_20180822191502972', 'da_20180822190644741', 'da_20180822185952595', 'da_20180822184729361', 'da_20180822184142246', 'da_20180822183559085', 'da_20180822183516074', 'da_20180822182100731', 'da_20180822181509607', 'da_20180822181112507', 'da_20180822180712363', 'da_20180822180258213', 'da_20180822175400961', 'da_20180822175352956', 'da_20180822175325948', 'da_20180822174852774', 'da_20180822174736728']"
공명선거,['da_20180822191602998']
누군가,"['da_20180822193423421', 'da_20180822181509607']"
김병,"['da_20180822185503512', 'da_20180822184219268', 'da_20180822183559085', 'da_20180822182400784', 'da_20180822182100732', 'da_20180822182100729', 'da_20180822181805672', 'da_20180822175551021', 'da_20180822175400963', 'da_20180822173907446', 'da_20180822173800401']"
실체적,['da_20180822173629345']
거취,"['da_20180822202439492', 'da_20180822181003437', 'da_20180822175400963']"
스타일,"['da_20180822204533882', 'da_20180822202644522']"
상정,"['da_20180822193502436', 'da_20180822184101227']"
증거수집,"['da_20180822183822163', 'da_20180822181802667']"
